timestamp,src,dest,speed_src,speed_dest,posx_src,posy_src,posz_src,posx_dest,posy_dest,posz_dest,traffic_type,packet_size,interval,serving_gnb,distance,sinr_dl,sinr_ulmac_thr_dl,mac_thr_ul,mac_delay_dl,mac_delay_ul,blerDlSignal,blerUlSignal,packetLossDlSignal,packetLossUlSignal,
0.14,gnb,ue[12],0,60,1000,950,30,357.136,488.019,26.7989,DL,1000,0.02,1,791.651,14.2812,12.6274,0,0,0,0,0,0,0,0
0.14,gnb,ue[13],0,60,1000,950,30,63.2104,504.695,82.1303,DL,1000,0.02,1,1038.55,13.5971,10.2275,7553.57,0,0.004,0,0,0,0,0
0.14,gnb,ue[14],0,60,1000,950,30,375.473,483.226,57.155,DL,1000,0.02,1,780.16,15.2418,3.73264,15363,0,0.004,0,0,0,0,0
0.14,gnb,ue[15],0,60,1000,950,30,978.351,502.31,0.159457,DL,1000,0.02,1,449.205,14.2698,8.9259,1675.44,0,0.004,0,0,0,0,0
0.14,gnb,ue[16],0,60,1000,950,30,137.137,493.393,77.9111,DL,1000,0.02,1,977.404,13.6188,3.54683,0,0,0,0,0,0,0,0
0.14,gnb,ue[17],0,60,1000,950,30,797.955,527.123,76.9247,DL,1000,0.02,1,471.009,14.9291,13.0877,15226.3,0,0.004,0,0,0,0,0
0.14,gnb,ue[18],0,60,1000,950,30,545.252,460.995,97.8857,DL,1000,0.02,1,671.216,15.1265,10.5032,15363,0,0.004,0,0,0,0,0
0.14,gnb,ue[19],0,60,1000,950,30,388.113,498.799,60.1944,DL,1000,0.02,1,760.855,16.0241,10.8059,15953.8,0,0.004,0,0,0,0,0
0.16,gnb,ue[0],0,60,1000,950,30,469.676,550.532,52.3156,DL,1000,0.02,1,664.317,13.7758,4.81522,0,0,0,0,0,0,0,0
0.16,gnb,ue[1],0,60,1000,950,30,259.478,546.068,60.5043,DL,1000,0.02,1,844.076,13.6207,5.85424,0,0,0,0,0,0,0,0
0.16,gnb,ue[2],0,60,1000,950,30,308.184,463.976,57.7284,DL,1000,0.02,1,845.93,13.7071,3.1476,13406.5,0,0.016,0,0,0,0,0
0.16,gnb,ue[3],0,60,1000,950,30,169.06,475.947,15.9469,DL,1000,0.02,1,956.757,14.5347,7.10629,13788.1,0,0.026,0,0,0,0,0
0.16,gnb,ue[4],0,60,1000,950,30,408.742,482.277,42.682,DL,1000,0.02,1,753.997,14.6129,-1.78155,19967.9,0,0.004,0,0,0,0,0
0.16,gnb,ue[5],0,60,1000,950,30,267.015,498.769,13.1597,DL,1000,0.02,1,860.906,14.1526,3.41324,8641.67,0,0.004,0,0,0,0,0
0.16,gnb,ue[6],0,60,1000,950,30,29.8022,496.786,2.52318,DL,1000,0.02,1,1071.19,10.8758,7.56229,0,0,0,0,0,0,0,0
0.16,gnb,ue[7],0,60,1000,950,30,267.243,537.661,46.1853,DL,1000,0.02,1,840.962,16.2066,18.6029,21163.3,0,0.004,0,0,0,0,0
0.16,gnb,ue[8],0,60,1000,950,30,726.926,459.642,47.4872,DL,1000,0.02,1,561.539,14.2302,14.4109,13210.2,0,0.021,0,0,0,0,0
0.16,gnb,ue[9],0,60,1000,950,30,909.659,555.906,3.52198,DL,1000,0.02,1,405.182,16.1323,33.9608,20359.5,0,0.004,0,0,0,0,0
0.16,gnb,ue[10],0,60,1000,950,30,187.874,472.559,33.8514,DL,1000,0.02,1,942.079,11.7472,6.61696,0,0,0,0,0,0,0,0
0.16,gnb,ue[11],0,60,1000,950,30,574.3,470.024,85.2736,DL,1000,0.02,1,643.936,14.9429,8.59735,19591.2,0,0.01,0,0,0,0,0
0.16,gnb,ue[12],0,60,1000,950,30,358.126,488.696,26.7989,DL,1000,0.02,1,790.451,14.3988,13.1974,0,0,0,0,0,0,0,0
0.16,gnb,ue[13],0,60,1000,950,30,63.3992,503.51,82.1303,DL,1000,0.02,1,1038.89,13.9653,11.9289,7553.57,0,0.004,0,0,0,0,0
0.16,gnb,ue[14],0,60,1000,950,30,374.874,482.186,57.155,DL,1000,0.02,1,781.262,15.4282,4.1652,20879.2,0,0.004,0,0,0,0,0
0.16,gnb,ue[15],0,60,1000,950,30,977.607,501.368,0.159457,DL,1000,0.02,1,450.181,14.3152,14.8948,8527.78,0,0.004,0,0,0,0,0
0.16,gnb,ue[16],0,60,1000,950,30,135.949,493.565,77.9111,DL,1000,0.02,1,978.372,13.4034,-1.6745,0,0,0,0,0,0,0,0
0.16,gnb,ue[17],0,60,1000,950,30,796.93,526.498,76.9247,DL,1000,0.02,1,472.009,15.1191,9.91947,15779.9,0,0.004,0,0,0,0,0
0.16,gnb,ue[18],0,60,1000,950,30,546.43,461.219,97.8857,DL,1000,0.02,1,670.254,15.1546,10.5656,17700.6,0,0.004,0,0,0,0,0
0.16,gnb,ue[19],0,60,1000,950,30,386.96,498.467,60.1944,DL,1000,0.02,1,761.979,15.8951,10.7131,21163.3,0,0.004,0,0,0,0,0
0.18,gnb,ue[0],0,60,1000,950,30,468.875,551.425,52.3156,DL,1000,0.02,1,664.42,13.6867,7.60077,0,0,0,0,0,0,0,0
0.18,gnb,ue[1],0,60,1000,950,30,260.598,546.499,60.5043,DL,1000,0.02,1,842.887,13.9568,2.90639,0,0,0,0,0,0,0,0
0.18,gnb,ue[2],0,60,1000,950,30,308.844,462.974,57.7284,DL,1000,0.02,1,845.967,13.948,5.78039,15044.7,0,0.004,0,0,0,0,0
0.18,gnb,ue[3],0,60,1000,950,30,168.983,477.145,15.9469,DL,1000,0.02,1,956.232,12.5427,7.75641,19018.3,0,0.004,0,0,0,0,0
0.18,gnb,ue[4],0,60,1000,950,30,407.706,481.671,42.682,DL,1000,0.02,1,755.185,14.5957,-0.488643,20690.1,0,0.004,0,0,0,0,0
0.18,gnb,ue[5],0,60,1000,950,30,266.879,499.961,13.1597,DL,1000,0.02,1,860.399,14.5261,7.38746,10956.8,0,0.004,0,0,0,0,0
